schuljahr;abschlussart;geschlecht;anzahl;anzahl_numerisch
2010/11;mit Hauptschulabschluss;männlich;1225;1225
2011/12;mit Hauptschulabschluss;männlich;1212;1212
2012/13;mit Hauptschulabschluss;männlich;1330;1330
2013/14;mit Hauptschulabschluss;männlich;1397;1397
2014/15;mit Hauptschulabschluss;männlich;1248;1248
2015/16;mit Hauptschulabschluss;männlich;1236;1236
2016/17;mit Hauptschulabschluss;männlich;1391;1391
2017/18;mit Hauptschulabschluss;männlich;1413;1413
2018/19;mit Hauptschulabschluss;männlich;1484;1484
2019/20;mit Hauptschulabschluss;männlich;1402;1402
2020/21;mit Hauptschulabschluss;männlich;1385;1385
2021/22;mit Hauptschulabschluss;männlich;1431;1431
2022/23;mit Hauptschulabschluss;männlich;1572;1572
2023/24;mit Hauptschulabschluss;männlich;1592;1592
2024/25;mit Hauptschulabschluss;männlich;1793;1793
1994/95;mit Hauptschulabschluss;weiblich;2350;2350
1995/96;mit Hauptschulabschluss;weiblich;2305;2305
1996/97;mit Hauptschulabschluss;weiblich;2805;2805
1997/98;mit Hauptschulabschluss;weiblich;2620;2620
1998/99;mit Hauptschulabschluss;weiblich;2404;2404
1999/00;mit Hauptschulabschluss;weiblich;2339;2339
2000/01;mit Hauptschulabschluss;weiblich;2244;2244
2001/02;mit Hauptschulabschluss;weiblich;2697;2697
2002/03;mit Hauptschulabschluss;weiblich;2591;2591
2003/04;mit Hauptschulabschluss;weiblich;2440;2440
2004/05;mit Hauptschulabschluss;weiblich;2447;2447
2005/06;mit Hauptschulabschluss;weiblich;1909;1909
2006/07;mit Hauptschulabschluss;weiblich;1497;1497
2007/08;mit Hauptschulabschluss;weiblich;1091;1091
2008/09;mit Hauptschulabschluss;weiblich;914;914
2009/10;mit Hauptschulabschluss;weiblich;764;764
2010/11;mit Hauptschulabschluss;weiblich;806;806
2011/12;mit Hauptschulabschluss;weiblich;822;822
2012/13;mit Hauptschulabschluss;weiblich;888;888
2013/14;mit Hauptschulabschluss;weiblich;911;911
2014/15;mit Hauptschulabschluss;weiblich;865;865
2015/16;mit Hauptschulabschluss;weiblich;780;780
2016/17;mit Hauptschulabschluss;weiblich;872;872
2017/18;mit Hauptschulabschluss;weiblich;801;801
2018/19;mit Hauptschulabschluss;weiblich;873;873
2019/20;mit Hauptschulabschluss;weiblich;820;820
2020/21;mit Hauptschulabschluss;weiblich;828;828
2021/22;mit Hauptschulabschluss;weiblich;899;899
2022/23;mit Hauptschulabschluss;weiblich;994;994
2023/24;mit Hauptschulabschluss;weiblich;1104;1104
2024/25;mit Hauptschulabschluss;weiblich;1261;1261
1994/95;mit Hauptschulabschluss;Insgesamt;6769;6769
1995/96;mit Hauptschulabschluss;Insgesamt;6604;6604
1996/97;mit Hauptschulabschluss;Insgesamt;7709;7709
1997/98;mit Hauptschulabschluss;Insgesamt;7036;7036
1998/99;mit Hauptschulabschluss;Insgesamt;6657;6657
1999/00;mit Hauptschulabschluss;Insgesamt;6337;6337
2000/01;mit Hauptschulabschluss;Insgesamt;6110;6110
2001/02;mit Hauptschulabschluss;Insgesamt;6921;6921
2002/03;mit Hauptschulabschluss;Insgesamt;6567;6567
2003/04;mit Hauptschulabschluss;Insgesamt;6463;6463
2004/05;mit Hauptschulabschluss;Insgesamt;6335;6335
2005/06;mit Hauptschulabschluss;Insgesamt;4985;4985
2006/07;mit Hauptschulabschluss;Insgesamt;3740;3740
2007/08;mit Hauptschulabschluss;Insgesamt;2653;2653
2008/09;mit Hauptschulabschluss;Insgesamt;2217;2217
2009/10;mit Hauptschulabschluss;Insgesamt;1957;1957
2010/11;mit Hauptschulabschluss;Insgesamt;2031;2031
2011/12;mit Hauptschulabschluss;Insgesamt;2034;2034
2012/13;mit Hauptschulabschluss;Insgesamt;2218;2218
2013/14;mit Hauptschulabschluss;Insgesamt;2308;2308
2014/15;mit Hauptschulabschluss;Insgesamt;2113;2113
2015/16;mit Hauptschulabschluss;Insgesamt;2016;2016
2016/17;mit Hauptschulabschluss;Insgesamt;2263;2263
2017/18;mit Hauptschulabschluss;Insgesamt;2214;2214
2018/19;mit Hauptschulabschluss;Insgesamt;2357;2357
2019/20;mit Hauptschulabschluss;Insgesamt;2222;2222
2020/21;mit Hauptschulabschluss;Insgesamt;2213;2213
2021/22;mit Hauptschulabschluss;Insgesamt;2330;2330
2022/23;mit Hauptschulabschluss;Insgesamt;2566;2566
2023/24;mit Hauptschulabschluss;Insgesamt;2696;2696
2024/25;mit Hauptschulabschluss;Insgesamt;3054;3054
1994/95;mit Realschulabschluss;männlich;15420;15420
1995/96;mit Realschulabschluss;männlich;15732;15732
1996/97;mit Realschulabschluss;männlich;14948;14948
1997/98;mit Realschulabschluss;männlich;14015;14015
1998/99;mit Realschulabschluss;männlich;13571;13571
1999/00;mit Realschulabschluss;männlich;14415;14415
2000/01;mit Realschulabschluss;männlich;14797;14797
2001/02;mit Realschulabschluss;männlich;14750;14750
2002/03;mit Realschulabschluss;männlich;14260;14260
2003/04;mit Realschulabschluss;männlich;13696;13696
2004/05;mit Realschulabschluss;männlich;13171;13171
2005/06;mit Realschulabschluss;männlich;12458;12458
2006/07;mit Realschulabschluss;männlich;10534;10534
2007/08;mit Realschulabschluss;männlich;7463;7463
2008/09;mit Realschulabschluss;männlich;6104;6104
2009/10;mit Realschulabschluss;männlich;5633;5633
2010/11;mit Realschulabschluss;männlich;5191;5191
2011/12;mit Realschulabschluss;männlich;5406;5406
2012/13;mit Realschulabschluss;männlich;6059;6059
