schuljahr;abschlussart;geschlecht;anzahl;anzahl_numerisch
2024/25;Insgesamt;männlich;11270;11270
1994/95;Insgesamt;weiblich;17581;17581
1995/96;Insgesamt;weiblich;17968;17968
1996/97;Insgesamt;weiblich;18490;18490
1997/98;Insgesamt;weiblich;17288;17288
1998/99;Insgesamt;weiblich;17263;17263
1999/00;Insgesamt;weiblich;17862;17862
2000/01;Insgesamt;weiblich;18618;18618
2001/02;Insgesamt;weiblich;18436;18436
2002/03;Insgesamt;weiblich;17728;17728
2003/04;Insgesamt;weiblich;16908;16908
2004/05;Insgesamt;weiblich;16071;16071
2005/06;Insgesamt;weiblich;14568;14568
2006/07;Insgesamt;weiblich;11903;11903
2007/08;Insgesamt;weiblich;8481;8481
2008/09;Insgesamt;weiblich;7160;7160
2009/10;Insgesamt;weiblich;6520;6520
2010/11;Insgesamt;weiblich;5947;5947
2011/12;Insgesamt;weiblich;6505;6505
2012/13;Insgesamt;weiblich;7167;7167
2013/14;Insgesamt;weiblich;7396;7396
2014/15;Insgesamt;weiblich;7630;7630
2015/16;Insgesamt;weiblich;7942;7942
2016/17;Insgesamt;weiblich;8123;8123
2017/18;Insgesamt;weiblich;7931;7931
2018/19;Insgesamt;weiblich;8197;8197
2019/20;Insgesamt;weiblich;8544;8544
2020/21;Insgesamt;weiblich;8649;8649
2021/22;Insgesamt;weiblich;8744;8744
2022/23;Insgesamt;weiblich;9010;9010
2023/24;Insgesamt;weiblich;9442;9442
2024/25;Insgesamt;weiblich;10020;10020
1994/95;Insgesamt;Insgesamt;39737;39737
1995/96;Insgesamt;Insgesamt;40316;40316
1996/97;Insgesamt;Insgesamt;40530;40530
1997/98;Insgesamt;Insgesamt;37923;37923
1998/99;Insgesamt;Insgesamt;37694;37694
1999/00;Insgesamt;Insgesamt;38843;38843
2000/01;Insgesamt;Insgesamt;39712;39712
2001/02;Insgesamt;Insgesamt;39383;39383
2002/03;Insgesamt;Insgesamt;37791;37791
2003/04;Insgesamt;Insgesamt;36156;36156
2004/05;Insgesamt;Insgesamt;34473;34473
2005/06;Insgesamt;Insgesamt;31258;31258
2006/07;Insgesamt;Insgesamt;25563;25563
2007/08;Insgesamt;Insgesamt;18221;18221
2008/09;Insgesamt;Insgesamt;15105;15105
2009/10;Insgesamt;Insgesamt;13792;13792
2010/11;Insgesamt;Insgesamt;12801;12801
2011/12;Insgesamt;Insgesamt;13566;13566
2012/13;Insgesamt;Insgesamt;15013;15013
2013/14;Insgesamt;Insgesamt;16079;16079
2014/15;Insgesamt;Insgesamt;15987;15987
2015/16;Insgesamt;Insgesamt;17009;17009
2016/17;Insgesamt;Insgesamt;17715;17715
2017/18;Insgesamt;Insgesamt;17125;17125
2018/19;Insgesamt;Insgesamt;17708;17708
2019/20;Insgesamt;Insgesamt;18147;18147
2020/21;Insgesamt;Insgesamt;18458;18458
2021/22;Insgesamt;Insgesamt;18699;18699
2022/23;Insgesamt;Insgesamt;19016;19016
2023/24;Insgesamt;Insgesamt;20236;20236
2024/25;Insgesamt;Insgesamt;21290;21290
