schuljahr,abschlussart,geschlecht,schulart,anzahl
2003/04,ohne Hauptschulabschluss,männlich,Grundschulen,-
2003/04,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1529
2003/04,ohne Hauptschulabschluss,männlich,Gymnasien,7
2003/04,ohne Hauptschulabschluss,männlich,Förderschulen,1872
2003/04,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,2
2003/04,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2003/04,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2003/04,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2003/04,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2004/05,ohne Hauptschulabschluss,männlich,Grundschulen,-
2004/05,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1343
2004/05,ohne Hauptschulabschluss,männlich,Gymnasien,25
2004/05,ohne Hauptschulabschluss,männlich,Förderschulen,1812
2004/05,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2004/05,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2004/05,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2004/05,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2004/05,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2005/06,ohne Hauptschulabschluss,männlich,Grundschulen,-
2005/06,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1156
2005/06,ohne Hauptschulabschluss,männlich,Gymnasien,27
2005/06,ohne Hauptschulabschluss,männlich,Förderschulen,1630
2005/06,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2005/06,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2005/06,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2005/06,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2005/06,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2006/07,ohne Hauptschulabschluss,männlich,Grundschulen,-
2006/07,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,883
2006/07,ohne Hauptschulabschluss,männlich,Gymnasien,6
2006/07,ohne Hauptschulabschluss,männlich,Förderschulen,1485
2006/07,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,3
2006/07,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2006/07,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2006/07,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2006/07,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2007/08,ohne Hauptschulabschluss,männlich,Grundschulen,-
2007/08,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,715
2007/08,ohne Hauptschulabschluss,männlich,Gymnasien,10
2007/08,ohne Hauptschulabschluss,männlich,Förderschulen,1269
2007/08,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2007/08,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2007/08,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2007/08,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2007/08,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2008/09,ohne Hauptschulabschluss,männlich,Grundschulen,-
2008/09,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,538
2008/09,ohne Hauptschulabschluss,männlich,Gymnasien,-
2008/09,ohne Hauptschulabschluss,männlich,Förderschulen,1107
2008/09,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2008/09,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2008/09,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2008/09,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2008/09,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2009/10,ohne Hauptschulabschluss,männlich,Grundschulen,-
2009/10,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,446
2009/10,ohne Hauptschulabschluss,männlich,Gymnasien,2
2009/10,ohne Hauptschulabschluss,männlich,Förderschulen,964
2009/10,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2009/10,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2009/10,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2009/10,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2009/10,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2010/11,ohne Hauptschulabschluss,männlich,Grundschulen,-
2010/11,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,438
2010/11,ohne Hauptschulabschluss,männlich,Gymnasien,1
2010/11,ohne Hauptschulabschluss,männlich,Förderschulen,955
2010/11,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,2
2010/11,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2010/11,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2010/11,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
