schuljahr,abschlussart,geschlecht,schulart,anzahl
2022/23,ohne Hauptschulabschluss,Insgesamt,Gymnasien,39
2022/23,ohne Hauptschulabschluss,Insgesamt,Förderschulen,1599
2022/23,ohne Hauptschulabschluss,Insgesamt,Freie Waldorfschulen,10
2022/23,ohne Hauptschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2022/23,ohne Hauptschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2022/23,ohne Hauptschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,-
2022/23,ohne Hauptschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2023/24,ohne Hauptschulabschluss,Insgesamt,Grundschulen,-
2023/24,ohne Hauptschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,1439
2023/24,ohne Hauptschulabschluss,Insgesamt,Gymnasien,24
2023/24,ohne Hauptschulabschluss,Insgesamt,Förderschulen,1604
2023/24,ohne Hauptschulabschluss,Insgesamt,Freie Waldorfschulen,7
2023/24,ohne Hauptschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2023/24,ohne Hauptschulabschluss,Insgesamt,Integrierte Gesamtschulen,1
2023/24,ohne Hauptschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,-
2023/24,ohne Hauptschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2024/25,ohne Hauptschulabschluss,Insgesamt,Grundschulen,-
2024/25,ohne Hauptschulabschluss,Insgesamt,Schularten mit mehreren Bildungsgängen,1519
2024/25,ohne Hauptschulabschluss,Insgesamt,Gymnasien,19
2024/25,ohne Hauptschulabschluss,Insgesamt,Förderschulen,1663
2024/25,ohne Hauptschulabschluss,Insgesamt,Freie Waldorfschulen,5
2024/25,ohne Hauptschulabschluss,Insgesamt,Gemeinschaftsschulen,-
2024/25,ohne Hauptschulabschluss,Insgesamt,Integrierte Gesamtschulen,-
2024/25,ohne Hauptschulabschluss,Insgesamt,Schulen des zweiten Bildungsweges,-
2024/25,ohne Hauptschulabschluss,Insgesamt,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1994/95,mit Hauptschulabschluss,männlich,Grundschulen,-
1994/95,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,4419
1994/95,mit Hauptschulabschluss,männlich,Gymnasien,1
1994/95,mit Hauptschulabschluss,männlich,Förderschulen,82
1994/95,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,-
1994/95,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1994/95,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1994/95,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,6
1994/95,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1995/96,mit Hauptschulabschluss,männlich,Grundschulen,-
1995/96,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,4299
1995/96,mit Hauptschulabschluss,männlich,Gymnasien,1
1995/96,mit Hauptschulabschluss,männlich,Förderschulen,124
1995/96,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,-
1995/96,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1995/96,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1995/96,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,18
1995/96,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1996/97,mit Hauptschulabschluss,männlich,Grundschulen,-
1996/97,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,4904
1996/97,mit Hauptschulabschluss,männlich,Gymnasien,x
1996/97,mit Hauptschulabschluss,männlich,Förderschulen,269
1996/97,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,1
1996/97,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1996/97,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1996/97,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,11
1996/97,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1997/98,mit Hauptschulabschluss,männlich,Grundschulen,-
1997/98,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,4416
1997/98,mit Hauptschulabschluss,männlich,Gymnasien,x
1997/98,mit Hauptschulabschluss,männlich,Förderschulen,288
1997/98,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,-
1997/98,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1997/98,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1997/98,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,9
1997/98,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1998/99,mit Hauptschulabschluss,männlich,Grundschulen,-
1998/99,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,4253
1998/99,mit Hauptschulabschluss,männlich,Gymnasien,x
1998/99,mit Hauptschulabschluss,männlich,Förderschulen,227
1998/99,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,4
1998/99,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1998/99,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1998/99,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,20
1998/99,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1999/00,mit Hauptschulabschluss,männlich,Grundschulen,-
1999/00,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,3998
1999/00,mit Hauptschulabschluss,männlich,Gymnasien,x
1999/00,mit Hauptschulabschluss,männlich,Förderschulen,272
1999/00,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,5
1999/00,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1999/00,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1999/00,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,22
1999/00,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2000/01,mit Hauptschulabschluss,männlich,Grundschulen,-
2000/01,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,3866
2000/01,mit Hauptschulabschluss,männlich,Gymnasien,x
2000/01,mit Hauptschulabschluss,männlich,Förderschulen,301
2000/01,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,1
2000/01,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2000/01,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2000/01,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,35
2000/01,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2001/02,mit Hauptschulabschluss,männlich,Grundschulen,-
2001/02,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,4224
2001/02,mit Hauptschulabschluss,männlich,Gymnasien,x
2001/02,mit Hauptschulabschluss,männlich,Förderschulen,290
2001/02,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,3
2001/02,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2001/02,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2001/02,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,26
2001/02,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2002/03,mit Hauptschulabschluss,männlich,Grundschulen,-
2002/03,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,3976
2002/03,mit Hauptschulabschluss,männlich,Gymnasien,x
2002/03,mit Hauptschulabschluss,männlich,Förderschulen,279
2002/03,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2002/03,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2002/03,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2002/03,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,45
2002/03,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2003/04,mit Hauptschulabschluss,männlich,Grundschulen,-
2003/04,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,4023
2003/04,mit Hauptschulabschluss,männlich,Gymnasien,x
2003/04,mit Hauptschulabschluss,männlich,Förderschulen,291
2003/04,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,2
2003/04,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2003/04,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2003/04,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,39
2003/04,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2004/05,mit Hauptschulabschluss,männlich,Grundschulen,-
2004/05,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,3888
2004/05,mit Hauptschulabschluss,männlich,Gymnasien,x
2004/05,mit Hauptschulabschluss,männlich,Förderschulen,355
2004/05,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,5
2004/05,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2004/05,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2004/05,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,30
2004/05,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2005/06,mit Hauptschulabschluss,männlich,Grundschulen,-
2005/06,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,3076
2005/06,mit Hauptschulabschluss,männlich,Gymnasien,x
2005/06,mit Hauptschulabschluss,männlich,Förderschulen,320
2005/06,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,3
2005/06,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2005/06,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2005/06,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,55
2005/06,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2006/07,mit Hauptschulabschluss,männlich,Grundschulen,-
2006/07,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,2243
2006/07,mit Hauptschulabschluss,männlich,Gymnasien,8
2006/07,mit Hauptschulabschluss,männlich,Förderschulen,323
2006/07,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,1
2006/07,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2006/07,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2006/07,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,49
2006/07,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2007/08,mit Hauptschulabschluss,männlich,Grundschulen,-
2007/08,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1562
2007/08,mit Hauptschulabschluss,männlich,Gymnasien,13
2007/08,mit Hauptschulabschluss,männlich,Förderschulen,230
2007/08,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2007/08,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2007/08,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2007/08,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,55
2007/08,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2008/09,mit Hauptschulabschluss,männlich,Grundschulen,-
2008/09,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1303
2008/09,mit Hauptschulabschluss,männlich,Gymnasien,22
2008/09,mit Hauptschulabschluss,männlich,Förderschulen,193
2008/09,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,1
2008/09,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2008/09,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2008/09,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,58
2008/09,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2009/10,mit Hauptschulabschluss,männlich,Grundschulen,-
2009/10,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1193
2009/10,mit Hauptschulabschluss,männlich,Gymnasien,2
2009/10,mit Hauptschulabschluss,männlich,Förderschulen,160
2009/10,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,2
2009/10,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2009/10,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2009/10,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,53
2009/10,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2010/11,mit Hauptschulabschluss,männlich,Grundschulen,-
2010/11,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1225
2010/11,mit Hauptschulabschluss,männlich,Gymnasien,9
2010/11,mit Hauptschulabschluss,männlich,Förderschulen,176
2010/11,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,10
2010/11,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2010/11,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2010/11,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,41
2010/11,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2011/12,mit Hauptschulabschluss,männlich,Grundschulen,-
2011/12,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1212
2011/12,mit Hauptschulabschluss,männlich,Gymnasien,16
2011/12,mit Hauptschulabschluss,männlich,Förderschulen,153
2011/12,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,1
2011/12,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2011/12,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2011/12,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,48
2011/12,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2012/13,mit Hauptschulabschluss,männlich,Grundschulen,-
2012/13,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1330
2012/13,mit Hauptschulabschluss,männlich,Gymnasien,9
2012/13,mit Hauptschulabschluss,männlich,Förderschulen,183
2012/13,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,-
2012/13,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2012/13,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2012/13,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,49
2012/13,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2013/14,mit Hauptschulabschluss,männlich,Grundschulen,-
2013/14,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1397
2013/14,mit Hauptschulabschluss,männlich,Gymnasien,8
2013/14,mit Hauptschulabschluss,männlich,Förderschulen,198
2013/14,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,2
2013/14,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2013/14,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2013/14,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,53
2013/14,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2014/15,mit Hauptschulabschluss,männlich,Grundschulen,-
2014/15,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1248
2014/15,mit Hauptschulabschluss,männlich,Gymnasien,9
2014/15,mit Hauptschulabschluss,männlich,Förderschulen,170
2014/15,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,3
2014/15,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2014/15,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2014/15,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,46
2014/15,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2015/16,mit Hauptschulabschluss,männlich,Grundschulen,-
2015/16,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1236
2015/16,mit Hauptschulabschluss,männlich,Gymnasien,6
2015/16,mit Hauptschulabschluss,männlich,Förderschulen,201
2015/16,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,8
2015/16,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2015/16,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2015/16,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,51
2015/16,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2016/17,mit Hauptschulabschluss,männlich,Grundschulen,-
2016/17,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1391
2016/17,mit Hauptschulabschluss,männlich,Gymnasien,13
2016/17,mit Hauptschulabschluss,männlich,Förderschulen,184
2016/17,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,5
2016/17,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2016/17,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2016/17,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,56
2016/17,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2017/18,mit Hauptschulabschluss,männlich,Grundschulen,-
2017/18,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1413
2017/18,mit Hauptschulabschluss,männlich,Gymnasien,14
2017/18,mit Hauptschulabschluss,männlich,Förderschulen,188
2017/18,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,3
2017/18,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2017/18,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2017/18,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,46
2017/18,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2018/19,mit Hauptschulabschluss,männlich,Grundschulen,-
2018/19,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1484
2018/19,mit Hauptschulabschluss,männlich,Gymnasien,19
2018/19,mit Hauptschulabschluss,männlich,Förderschulen,183
2018/19,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,9
2018/19,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2018/19,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2018/19,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,79
2018/19,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2019/20,mit Hauptschulabschluss,männlich,Grundschulen,-
2019/20,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1402
2019/20,mit Hauptschulabschluss,männlich,Gymnasien,12
2019/20,mit Hauptschulabschluss,männlich,Förderschulen,179
2019/20,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,5
2019/20,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2019/20,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2019/20,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,56
2019/20,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2020/21,mit Hauptschulabschluss,männlich,Grundschulen,-
2020/21,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1385
2020/21,mit Hauptschulabschluss,männlich,Gymnasien,11
2020/21,mit Hauptschulabschluss,männlich,Förderschulen,178
2020/21,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,3
2020/21,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2020/21,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2020/21,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,65
2020/21,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2021/22,mit Hauptschulabschluss,männlich,Grundschulen,-
2021/22,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1431
2021/22,mit Hauptschulabschluss,männlich,Gymnasien,18
2021/22,mit Hauptschulabschluss,männlich,Förderschulen,185
2021/22,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,13
2021/22,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2021/22,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2021/22,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,32
2021/22,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2022/23,mit Hauptschulabschluss,männlich,Grundschulen,-
2022/23,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1572
2022/23,mit Hauptschulabschluss,männlich,Gymnasien,11
2022/23,mit Hauptschulabschluss,männlich,Förderschulen,209
2022/23,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,12
2022/23,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2022/23,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,4
2022/23,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,49
2022/23,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2023/24,mit Hauptschulabschluss,männlich,Grundschulen,-
2023/24,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1592
2023/24,mit Hauptschulabschluss,männlich,Gymnasien,25
2023/24,mit Hauptschulabschluss,männlich,Förderschulen,202
2023/24,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,14
2023/24,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2023/24,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,4
2023/24,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,27
2023/24,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2024/25,mit Hauptschulabschluss,männlich,Grundschulen,-
2024/25,mit Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,1793
2024/25,mit Hauptschulabschluss,männlich,Gymnasien,25
2024/25,mit Hauptschulabschluss,männlich,Förderschulen,196
2024/25,mit Hauptschulabschluss,männlich,Freie Waldorfschulen,18
2024/25,mit Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2024/25,mit Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2024/25,mit Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,37
2024/25,mit Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1994/95,mit Hauptschulabschluss,weiblich,Grundschulen,-
1994/95,mit Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,2350
1994/95,mit Hauptschulabschluss,weiblich,Gymnasien,4
1994/95,mit Hauptschulabschluss,weiblich,Förderschulen,41
1994/95,mit Hauptschulabschluss,weiblich,Freie Waldorfschulen,-
1994/95,mit Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1994/95,mit Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1994/95,mit Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,6
1994/95,mit Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1995/96,mit Hauptschulabschluss,weiblich,Grundschulen,-
1995/96,mit Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,2305
1995/96,mit Hauptschulabschluss,weiblich,Gymnasien,-
1995/96,mit Hauptschulabschluss,weiblich,Förderschulen,56
1995/96,mit Hauptschulabschluss,weiblich,Freie Waldorfschulen,-
1995/96,mit Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1995/96,mit Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1995/96,mit Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,18
1995/96,mit Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1996/97,mit Hauptschulabschluss,weiblich,Grundschulen,-
1996/97,mit Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,2805
1996/97,mit Hauptschulabschluss,weiblich,Gymnasien,x
1996/97,mit Hauptschulabschluss,weiblich,Förderschulen,115
1996/97,mit Hauptschulabschluss,weiblich,Freie Waldorfschulen,1
1996/97,mit Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1996/97,mit Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1996/97,mit Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,10
1996/97,mit Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1997/98,mit Hauptschulabschluss,weiblich,Grundschulen,-
1997/98,mit Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,2620
1997/98,mit Hauptschulabschluss,weiblich,Gymnasien,x
1997/98,mit Hauptschulabschluss,weiblich,Förderschulen,111
1997/98,mit Hauptschulabschluss,weiblich,Freie Waldorfschulen,-
1997/98,mit Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1997/98,mit Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1997/98,mit Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,7
1997/98,mit Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1998/99,mit Hauptschulabschluss,weiblich,Grundschulen,-
1998/99,mit Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,2404
1998/99,mit Hauptschulabschluss,weiblich,Gymnasien,x
1998/99,mit Hauptschulabschluss,weiblich,Förderschulen,125
1998/99,mit Hauptschulabschluss,weiblich,Freie Waldorfschulen,2
1998/99,mit Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1998/99,mit Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1998/99,mit Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,11
1998/99,mit Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1999/00,mit Hauptschulabschluss,weiblich,Grundschulen,-
1999/00,mit Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,2339
1999/00,mit Hauptschulabschluss,weiblich,Gymnasien,x
1999/00,mit Hauptschulabschluss,weiblich,Förderschulen,126
1999/00,mit Hauptschulabschluss,weiblich,Freie Waldorfschulen,2
1999/00,mit Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
1999/00,mit Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
1999/00,mit Hauptschulabschluss,weiblich,Schulen des zweiten Bildungsweges,10
1999/00,mit Hauptschulabschluss,weiblich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2000/01,mit Hauptschulabschluss,weiblich,Grundschulen,-
2000/01,mit Hauptschulabschluss,weiblich,Schularten mit mehreren Bildungsgängen,2244
2000/01,mit Hauptschulabschluss,weiblich,Gymnasien,x
2000/01,mit Hauptschulabschluss,weiblich,Förderschulen,171
2000/01,mit Hauptschulabschluss,weiblich,Freie Waldorfschulen,3
2000/01,mit Hauptschulabschluss,weiblich,Gemeinschaftsschulen,-
2000/01,mit Hauptschulabschluss,weiblich,Integrierte Gesamtschulen,-
