"id","name","institution_key","abbreviation","owner_id","owner_abbreviation","owner_name","owner_type"
"1949","Gerhart-Hauptmann-Schule, Oberschule","4531034","oaos-limbach.o-haupt","777","","Stadt Limbach-Oberfrohna","15"
"1051","Geschwister-Scholl-Oberschule","4531018","oaos-limbach.o-scholl","777","","Stadt Limbach-Oberfrohna","15"
"672","Geschwister-Scholl-Oberschule Roßwein","4231627","oaos-rosswein","710","","Stadt Roßwein","13"
"1981","Geschwister-Scholl-Oberschule Schönheide","4231718","oaos-schoenheide","151","","Gemeinde Schönheide","12"
"2282","Geschwister-Scholl-Schule Liebertwolkwitz - Oberschule der Stadt Leipzig","4430179","oaos-leipzig-scholl","876","","Stadt Leipzig","14"
"163","Goethe-Oberschule Wilthen","4130936","oaos-wilthen","800","","Stadt Wilthen","13"
"1966","Goethe-Schule Breitenbrunn, Oberschule","4231676","oaos-breitenbrunn","167","","Gemeinde Breitenbrunn/Erzgeb.","12"
"775","Goetheschule Mügeln, Oberschule","4430799","oaos-muegeln","238","","Stadt Mügeln","13"
"2144","Gottlieb-Daimler-Oberschule Bautzen","4130514","oasz-bautzen-daimle","834","","Stadt Bautzen","15"
"4057","gruuna Schule -Freie Waldorfschule (Schule in freier Trägerschaft)","4213484","fasz-chemnitz-GRUU","6146","GRUU","gruuna Schule gGmbH","20"
"4157","Gut Loberthal - Handlungspädagogische Waldorfschule (Schule in freier Trägerschaft)","4412839","fasz-rackwitz-LOB","6177","LOB","Loberthal e.V.","22"
"2003","Heiner-Müller-Schule, Oberschule Eppendorf","4231197","oaos-eppendorf","699","","Gemeinde Eppendorf","12"
"983","Heinrich-Heine-Oberschule","4231692","oaos-lauter","153","","Stadt Lauter-Bernsbach","13"
"2195","Heinrich-Pestalozzi Oberschule Löbau","4131058","oaos-loebau","342","","Stadt Löbau","15"
"2269","Heinrich-Pestalozzi-Schule - Oberschule der Stadt Leipzig","4430047","oaos-leipzig-pestal","876","","Stadt Leipzig","14"
"1972","Heinrich-von-Kleist-Schule, Oberschule","4531042","oaos-lichtenstein","782","","Stadt Lichtenstein/Sa.","13"
"2386","Helmholtzschule - Oberschule der Stadt Leipzig","4431169","oaos-leipzig-helmho","876","","Stadt Leipzig","14"
"3129","Hoffnungswerk Evangelisches Schulzentrum Evangelische Oberschule Schöneck (Schule in freier Trägerschaft)","4530952","faos-schoeneck-OVVIM","6015","OVVIM","Hoffnungswerk Vogtland e. V.","21"
"2974","HOGA Oberschule Dresden (Schule in freier Trägerschaft)","4331542","faos-dresden-HOGA","1016","HOGA","HOGA Schulen Dresden gSchulgesellschaft mbH","29"
"1389","Humboldtschule, Oberschule","4530861","oaos-zwickau-humbol","104","","Stadt Zwickau","15"
"4127","Interkulturelle Waldorfschule Dresden (Schule in freier Trägerschaft)","4313714","fasz-dresden-VIWP","6168","VIWP","Verein für lnterkulturelle Waldorfpädagogik e. V.","22"
"4196","Internationale Oberschule Geithain (IOG) (Schule in freier Trägerschaft)","4431664","faos-geithain-SIS","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"3351","Internationale Oberschule Meerane (Schule in freier Trägerschaft)","4531141","faos-meerane-SIS","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"3145","Internationale Oberschule Neukirchen (Schule in freier Trägerschaft)","4530986","faos-neukirchen.p-SIS","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"3350","Internationale Oberschule Niederwürschnitz (Schule in freier Trägerschaft)","4231569","faos-n.wuerschnitz-SIS","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"3345","Internationale Oberschule Reinsdorf (IOR) (Schule in freier Trägerschaft)","4531133","faos-reinsdorf-SIS","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"2030","Jakobus-Oberschule","4530739","oaos-muelsen","70","","Gemeinde Mülsen","12"
"2984","Jenaplanschule Markersbach Oberschule (Schule in freier Trägerschaft)","4231742","faos-raschau-TJE","1434","TJE","Jenaplanschule im Erzgebirge e. V.","22"
"1951","Johann-Gottlieb-Fichte-Schule, Oberschule","4230819","oaos-mittweida","503","","Stadt Mittweida","15"
"1420","Josephinenschule, Oberschule","4230454","oaos-chemnitz-joseph","873","","Stadt Chemnitz","14"
