"id","name","institution_key","abbreviation","owner_id","owner_abbreviation","owner_name","owner_type"
"2356","Oberschule Wermsdorf","4430922","oaos-wermsdorf","223","","Gemeinde Wermsdorf","12"
"3133","Oberschule Westerzgebirge (Schule in freier Trägerschaft)","4231759","faos-aue.schl-BZE","6018","BZE","BZE - Schulungsgesellschaft Erzgebirge gGmbH","20"
"268","Oberschule Wilsdruff","4330874","oaos-wilsdruff","192","","Stadt Wilsdruff","13"
"999","Oberschule Zschorlau","4231734","oaos-zschorlau","144","","Gemeinde Zschorlau","12"
"2493","Palucca Hochschule für Tanz Dresden, Oberschule","4330056","oaos-dresden-paluc","6114","","Freistaat Sachsen - Staatsministerium für Wissenschaft, Kultur und Tourismus","11"
"2202","Park-Oberschule Zittau","4131207","oaos-zittau-park","318","","Stadt Zittau","15"
"2025","Paul-Fleming-Oberschule","4530671","oaos-hartenstein","92","","Stadt Hartenstein","13"
"2276","Paul-Guenther-Oberschule Geithain","4430112","oaos-geithain","646","","Stadt Geithain","13"
"2376","Paul-Robeson-Schule - Oberschule der Stadt Leipzig","4431193","oaos-leipzig-robeso","876","","Stadt Leipzig","14"
"3432","Paulus-Schule Königswartha - Evangelische Oberschule (Schule in freier Trägerschaft)","4131322","faos-koenigswartha-EVSBZ","1310","EVSBZ","Evangelischer Schulverein im Landkreis Bautzen e. V.","21"
"21","Pestalozzi-Oberschule","4331070","oaos-pirna-pestal","288","","Stadt Pirna","15"
"2191","Pestalozzi-Oberschule Großschönau","4131009","oaos-g.schoenau","355","","Gemeinde Großschönau","12"
"2347","Pestalozzi-Oberschule Hartha","4231601","oaos-hartha","725","","Stadt Hartha","13"
"2241","Pestalozzi-Oberschule Meißen","4331260","oaos-meissen-pestal","583","","Stadt Meißen","15"
"2197","Pestalozzi-Oberschule Neusalza-Spremberg","4131082","oaos-neusalza","346","","Stadt Neusalza-Spremberg","13"
"1976","Pestalozzi-Oberschule Oberlungwitz","4531059","oaos-oberlungwitz","776","","Stadt Oberlungwitz","13"
"2199","Pestalozzi-Oberschule Oderwitz","4131116","oaos-oderwitz","336","","Gemeinde Oderwitz","12"
"1361","Pestalozzi-Oberschule Wilkau-Haßlau","4530812","oaos-wilkau","55","","Stadt Wilkau-Haßlau","13"
"2357","Pestalozzi-Oberschule Wurzen","4430930","oaos-wurzen","456","","Stadt Wurzen","15"
"1049","Pestalozzi-Schule, Oberschule","4531026","oaos-limbach.o-pestal","777","","Stadt Limbach-Oberfrohna","15"
"214","Pestalozzischule Radeberg Oberschule","4130068","oaos-radeberg-pestal","27","","Stadt Radeberg","15"
"1385","Pestalozzischule, Oberschule","4530853","oaos-zwickau-pestal","104","","Stadt Zwickau","15"
"669","Peter-Apian-Oberschule Leisnig","4231619","oaos-leisnig","715","","Stadt Leisnig","13"
"867","Petrischule - Oberschule der Stadt Leipzig","4431284","oaos-leipzig-petri","876","","Stadt Leipzig","14"
"3483","Private Ganztagsoberschule der Privaten Schule IBB gGmbH Dresden (Schule in freier Trägerschaft)","4331633","faos-dresden-IBB","1078","IBB","Private Schule IBB gGmbH Dresden","29"
"3245","Private Oberschule Geyer (Schule in freier Trägerschaft)","4231502","faos-geyer-IAJ","1099","IAJ","IAJ Institut für Ausbildung Jugendlicher gGmbH","29"
"3156","Rahn Education Freie Oberschule Leipzig (Schule in freier Trägerschaft)","4431458","faos-leipzig-RAHN","1039","RAHN","Dr. P. Rahn & Partner Schulen in freier Trägerschaft gemeinnützige Schulgesellschaft mbH","29"
"432","Richard-von-Schlieben-Oberschule","4131181","oaos-zittau-schlie","318","","Stadt Zittau","15"
"777","Robert-Härtwig-Schule Oschatz, Oberschule","4430856","oaos-oschatz","227","","Stadt Oschatz","15"
"857","Rosa-Parks-Schule - Oberschule der Stadt Leipzig","4431029","oaos-leipzig-parks","876","","Stadt Leipzig","14"
"931","Rudi-Glöckner-Schule - Oberschule der Stadt Leipzig","4431367","oaos-leipzig-gloeck","876","","Stadt Leipzig","14"
"3277","Sachsenring-Oberschule Callenberg/Hohenstein-Ernstthal","4531117","oaos-hohenstein.e","785","","Stadt Hohenstein-Ernstthal","15"
"1299","Sahnschule, Oberschule","4530630","oaos-crimmitschau-sahn","106","","Stadt Crimmitschau","15"
"2568","Schkola Oberland - Freie Schule an der Haine (Oberschule) (Schule in freier Trägerschaft)","4131223","faos-ebersbach.n-SCHKO","1070","SCHKO","SCHKOLA gGmbH","20"
"3439","Schkola Ostritz - Umweltmodellschule Oberschule (Schule in freier Trägerschaft)","4131355","faos-ostritz-SCHKO","1070","SCHKO","SCHKOLA gGmbH","20"
"2383","Schule am Adler - Oberschule der Stadt Leipzig","4431003","oaos-leipzig-adler","876","","Stadt Leipzig","14"
"2315","Schule am Leinepark Oberschule Krostitz","4430484","oaos-krostitz","746","","Gemeinde Krostitz","12"
"710","Schule am Thümmlitzwald, Oberschule der Stadt Grimma","4430591","oaos-grimma-boehl","471","","Stadt Grimma","15"
"3791","Schule am Weißeplatz - Oberschule der Stadt Leipzig","4431524","oaos-leipzig-weisse","876","","Stadt Leipzig","14"
"3792","Schule Georg-Schwarz-Str. - Oberschule der Stadt Leipzig","4431532","oaos-leipzig-schwar","876","","Stadt Leipzig","14"
"4107","Schule Höltystraße - Oberschule der Stadt Leipzig","4431649","oaos-leipzig-hoelty","876","","Stadt Leipzig","14"
"4065","Schule Ihmelsstraße - Oberschule der Stadt Leipzig","4431623","oaos-leipzig-ihmels","876","","Stadt Leipzig","14"
"2285","Schule Mölkau - Oberschule der Stadt Leipzig","4430211","oaos-leipzig-moelk","876","","Stadt Leipzig","14"
"2399","Schule Paunsdorf - Oberschule der Stadt Leipzig","4431425","oaos-leipzig-paunsd","876","","Stadt Leipzig","14"
"4034","Schule Ratzelstraße - Oberschule der Stadt Leipzig","4431607","oaos-leipzig-ratzel","876","","Stadt Leipzig","14"
"2294","Schule Wiederitzsch - Oberschule der Stadt Leipzig","4430310","oaos-leipzig-wieder","876","","Stadt Leipzig","14"
"459","Scultetus-Oberschule","4130142","oaos-goerlitz-sculte","367","","Stadt Görlitz","15"
"2879","Seminar-Oberschule Auerbach","4530929","oaos-auerbach.v-semin","925","","Stadt Auerbach/Vogtl.","15"
"3409","Semper-Oberschule (Schule in freier Trägerschaft)","4331617","faos-dresden-SEMPM","6128","SEMPM","Semper Schulen Media gemeinnützige GmbH","20"
"2337","Sophienschule Colditz, Oberschule","4430641","oaos-colditz","481","","Stadt Colditz","13"
"2166","Sorbische Oberschule ""Dr. Maria Grollmuß"" Radibor","4130852","oaos-radibor-sorb","807","","Gemeinde Radibor","12"
"2165","Sorbische Oberschule ""Michal Hornik"" Räckelwitz","4130845","oaos-raeckelwitz-sorb","109","","Gemeinde Räckelwitz","12"
"2143","Sorbische Oberschule Bautzen","4130555","oaos-bautzen-sorb","833","","Landkreis Bautzen","16"
"2167","Sorbische Oberschule Ralbitz","4130860","oaos-ralbitz-sorb","110","","Gemeinde Ralbitz-Rosenthal","12"
"1880","Sportoberschule Chemnitz","4230355","oaos-chemnitz-sport","873","","Stadt Chemnitz","14"
"475","Sportoberschule Dresden","4330288","oaos-dresden-sport","874","","Stadt Dresden","14"
"2371","Sportoberschule Leipzig - Oberschule der Stadt Leipzig","4431243","oaos-leipzig-sport","876","","Stadt Leipzig","14"
"3935","SRH Oberschule Dresden (Schule in freier Trägerschaft)","4331682","faos-dresden-SRHBW","6078","SRHBW","SRH Berufsbildungswerk Sachsen GmbH","20"
"1982","Stadtschule Schwarzenberg, Oberschule","4231726","oaos-schwarzenberg","146","","Stadt Schwarzenberg/Erzgeb.","15"
"1126","Tännichtschule, Oberschule","4531083","oaos-meerane","779","","Stadt Meerane","13"
"3414","TRIAS Oberschule Elsterberg (Schule in freier Trägerschaft)","4531158","faos-elsterberg-SIS","1441","SIS","Saxony International School - Carl Hahn gemeinnützige GmbH","29"
"2240","Triebischtal-Oberschule Meißen","4331245","oaos-meissen-triebi","583","","Stadt Meißen","15"
"1147","Turley-Oberschule Oelsnitz","4231015","oaos-oelsnitz.e","262","","Stadt Oelsnitz/Erzgeb.","13"
"1423","Untere Luisenschule, Oberschule","4230397","oaos-chemnitz-luisen","873","","Stadt Chemnitz","14"
"1607","Waldorfschule Chemnitz (Schule in freier Trägerschaft)","4210027","fasz-chemnitz-WDC","1007","WDC","Waldorfschulverein Chemnitz e.V.","22"
"2024","Wehrdigtschule, Oberschule","4531075","oaos-glauchau-wehrdi","788","","Stadt Glauchau","15"
"1908","Weinholdschule Oberschule","4530150","oaos-reichenbach.v","880","","Stadt Reichenbach im Vogtland","15"
"1901","Wilhelm-Adolph-von-Trützschler- Oberschule Stadt Falkenstein","4530051","oaos-falkenstein","931","","Stadt Falkenstein/Vogtl.","13"
"2187","Wilhelm-von-Polenz-Oberschule Cunewalde","4130969","oaos-cunewalde","833","","Landkreis Bautzen","16"
"3436","WIR- Freie Oberschule Bernsdorf (Schule in freier Trägerschaft)","4131330","faos-bernsdorf-BDORF","6072","BDORF","Schulverein der Oberschule Bernsdorf e.V.","22"
"1212","Zentralschule Adorf, Oberschule","4530192","oaos-adorf","954","","Stadt Adorf/Vogtl.","13"
"980","„Glück auf!"" - Oberschule Eibenstock","4231684","oaos-eibenstock","164","","Stadt Eibenstock","13"
