GENESIS-Tabelle: 21111-053
Allgemeinb. Schulen: Absolventen / Abgänger,;;;;;;;;;;;
Schulart (12), Geschlecht 2), Abschlussart (5);;;;;;;;;;;
- Sachsen - Schuljahre;;;;;;;;;;;
Statistik der allgemeinbildenden Schulen;;;;;;;;;;;
Freistaat Sachsen;;;;;;;;;;;
Absolventen / Abgänger 1) (Anzahl);;;;;;;;;;;
;;;Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8)
;;;Grundschulen;Schularten mit mehreren Bildungsgängen;Gymnasien;Förderschulen;Freie Waldorfschulen;Gemeinschaftsschulen;Integrierte Gesamtschulen;Schulen des zweiten Bildungsweges;außerdem Schulkindergärten entspr.Vorbereitungskl.
mit Fachhochschulreife;Insgesamt;1995/96;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;1996/97;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;1997/98;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;1998/99;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;1999/00;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2000/01;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2001/02;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2002/03;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2003/04;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2004/05;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2005/06;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2006/07;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2007/08;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2008/09;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2009/10;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2010/11;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2011/12;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2012/13;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2013/14;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2014/15;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2015/16;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2016/17;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2017/18;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2018/19;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2019/20;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2020/21;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2021/22;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2022/23;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2023/24;-;-;-;-;-;-;-;-;-
mit Fachhochschulreife;Insgesamt;2024/25;-;-;-;-;-;-;-;-;-
mit allgemeiner Hochschulreife;männlich;1994/95;-;x;5833;x;-;-;-;226;-
mit allgemeiner Hochschulreife;männlich;1995/96;-;x;6263;x;4;-;-;184;-
mit allgemeiner Hochschulreife;männlich;1996/97;-;x;6290;x;3;-;-;214;-
mit allgemeiner Hochschulreife;männlich;1997/98;-;x;5883;x;4;-;-;152;-
mit allgemeiner Hochschulreife;männlich;1998/99;-;x;6197;x;10;-;-;124;-
mit allgemeiner Hochschulreife;männlich;1999/00;-;x;6311;x;11;-;-;137;-
mit allgemeiner Hochschulreife;männlich;2000/01;-;x;6119;x;9;-;-;132;-
mit allgemeiner Hochschulreife;männlich;2001/02;-;x;5700;x;10;-;-;126;-
mit allgemeiner Hochschulreife;männlich;2002/03;-;x;5443;x;12;-;-;159;-
mit allgemeiner Hochschulreife;männlich;2003/04;-;x;5680;x;15;-;-;152;-
mit allgemeiner Hochschulreife;männlich;2004/05;-;x;5663;x;11;-;-;186;-
mit allgemeiner Hochschulreife;männlich;2005/06;-;x;5842;x;16;-;-;158;-
mit allgemeiner Hochschulreife;männlich;2006/07;-;x;5806;x;17;-;-;171;-
mit allgemeiner Hochschulreife;männlich;2007/08;-;x;5868;x;23;-;-;171;-
mit allgemeiner Hochschulreife;männlich;2008/09;-;x;5237;x;15;-;-;187;-
mit allgemeiner Hochschulreife;männlich;2009/10;-;x;3127;x;10;-;-;149;-
mit allgemeiner Hochschulreife;männlich;2010/11;-;x;2859;x;25;-;-;135;-
mit allgemeiner Hochschulreife;männlich;2011/12;-;x;2919;x;16;-;-;166;-
mit allgemeiner Hochschulreife;männlich;2012/13;-;x;3217;x;24;-;-;148;-
mit allgemeiner Hochschulreife;männlich;2013/14;-;x;3565;x;17;-;-;151;-
mit allgemeiner Hochschulreife;männlich;2014/15;-;x;4128;x;30;-;-;136;-
mit allgemeiner Hochschulreife;männlich;2015/16;-;x;4230;x;22;-;-;116;-
mit allgemeiner Hochschulreife;männlich;2016/17;-;x;4612;x;18;-;-;115;-
mit allgemeiner Hochschulreife;männlich;2017/18;-;x;4412;x;26;-;-;93;-
mit allgemeiner Hochschulreife;männlich;2018/19;-;x;4722;x;19;-;-;75;-
mit allgemeiner Hochschulreife;männlich;2019/20;-;x;4477;x;27;-;-;79;-
mit allgemeiner Hochschulreife;männlich;2020/21;-;x;4454;x;31;-;-;107;-
mit allgemeiner Hochschulreife;männlich;2021/22;-;x;4627;x;17;-;-;89;-
mit allgemeiner Hochschulreife;männlich;2022/23;-;x;4339;x;31;-;9;82;-
mit allgemeiner Hochschulreife;männlich;2023/24;-;x;4352;x;23;-;17;89;-
mit allgemeiner Hochschulreife;männlich;2024/25;-;x;4561;x;29;-;-;70;-
mit allgemeiner Hochschulreife;weiblich;1994/95;-;x;9068;x;4;-;-;243;-
mit allgemeiner Hochschulreife;weiblich;1995/96;-;x;9966;x;3;-;-;214;-
mit allgemeiner Hochschulreife;weiblich;1996/97;-;x;10076;x;4;-;-;186;-
mit allgemeiner Hochschulreife;weiblich;1997/98;-;x;9426;x;1;-;-;123;-
mit allgemeiner Hochschulreife;weiblich;1998/99;-;x;9583;x;7;-;-;122;-
mit allgemeiner Hochschulreife;weiblich;1999/00;-;x;9144;x;14;-;-;144;-
mit allgemeiner Hochschulreife;weiblich;2000/01;-;x;9244;x;9;-;-;114;-
mit allgemeiner Hochschulreife;weiblich;2001/02;-;x;8305;x;10;-;-;110;-
mit allgemeiner Hochschulreife;weiblich;2002/03;-;x;7846;x;15;-;-;141;-
mit allgemeiner Hochschulreife;weiblich;2003/04;-;x;7933;x;13;-;-;136;-
mit allgemeiner Hochschulreife;weiblich;2004/05;-;x;7864;x;23;-;-;166;-
mit allgemeiner Hochschulreife;weiblich;2005/06;-;x;7915;x;20;-;-;188;-
mit allgemeiner Hochschulreife;weiblich;2006/07;-;x;7658;x;16;-;-;178;-
mit allgemeiner Hochschulreife;weiblich;2007/08;-;x;7671;x;20;-;-;171;-
mit allgemeiner Hochschulreife;weiblich;2008/09;-;x;6471;x;25;-;-;183;-
mit allgemeiner Hochschulreife;weiblich;2009/10;-;x;3762;x;17;-;-;157;-
mit allgemeiner Hochschulreife;weiblich;2010/11;-;x;3461;x;25;-;-;164;-
mit allgemeiner Hochschulreife;weiblich;2011/12;-;x;3499;x;25;-;-;146;-
mit allgemeiner Hochschulreife;weiblich;2012/13;-;x;3809;x;29;-;-;120;-
mit allgemeiner Hochschulreife;weiblich;2013/14;-;x;4290;x;37;-;-;133;-
mit allgemeiner Hochschulreife;weiblich;2014/15;-;x;4879;x;26;-;-;108;-
mit allgemeiner Hochschulreife;weiblich;2015/16;-;x;5105;x;37;-;-;92;-
mit allgemeiner Hochschulreife;weiblich;2016/17;-;x;5466;x;38;-;-;67;-
mit allgemeiner Hochschulreife;weiblich;2017/18;-;x;5453;x;38;-;-;81;-
mit allgemeiner Hochschulreife;weiblich;2018/19;-;x;5485;x;27;-;-;66;-
mit allgemeiner Hochschulreife;weiblich;2019/20;-;x;5460;x;25;-;-;81;-
mit allgemeiner Hochschulreife;weiblich;2020/21;-;x;5450;x;35;-;-;88;-
mit allgemeiner Hochschulreife;weiblich;2021/22;-;x;5653;x;34;-;-;68;-
mit allgemeiner Hochschulreife;weiblich;2022/23;-;x;5148;x;41;-;20;103;-
mit allgemeiner Hochschulreife;weiblich;2023/24;-;x;5129;x;45;-;23;53;-
mit allgemeiner Hochschulreife;weiblich;2024/25;-;x;5502;x;39;-;-;51;-
mit allgemeiner Hochschulreife;Insgesamt;1994/95;-;-;14901;-;4;-;-;469;-
mit allgemeiner Hochschulreife;Insgesamt;1995/96;-;-;16229;-;7;-;-;398;-
mit allgemeiner Hochschulreife;Insgesamt;1996/97;-;-;16366;-;7;-;-;400;-
mit allgemeiner Hochschulreife;Insgesamt;1997/98;-;-;15309;-;5;-;-;275;-
mit allgemeiner Hochschulreife;Insgesamt;1998/99;-;-;15780;-;17;-;-;246;-
mit allgemeiner Hochschulreife;Insgesamt;1999/00;-;-;15455;-;25;-;-;281;-
mit allgemeiner Hochschulreife;Insgesamt;2000/01;-;-;15363;-;18;-;-;246;-
mit allgemeiner Hochschulreife;Insgesamt;2001/02;-;-;14005;-;20;-;-;236;-
mit allgemeiner Hochschulreife;Insgesamt;2002/03;-;-;13289;-;27;-;-;300;-
mit allgemeiner Hochschulreife;Insgesamt;2003/04;-;-;13613;-;28;-;-;288;-
mit allgemeiner Hochschulreife;Insgesamt;2004/05;-;-;13527;-;34;-;-;352;-
mit allgemeiner Hochschulreife;Insgesamt;2005/06;-;-;13757;-;36;-;-;346;-
mit allgemeiner Hochschulreife;Insgesamt;2006/07;-;-;13464;-;33;-;-;349;-
mit allgemeiner Hochschulreife;Insgesamt;2007/08;-;-;13539;-;43;-;-;342;-
mit allgemeiner Hochschulreife;Insgesamt;2008/09;-;-;11708;-;40;-;-;370;-
mit allgemeiner Hochschulreife;Insgesamt;2009/10;-;-;6889;-;27;-;-;306;-
mit allgemeiner Hochschulreife;Insgesamt;2010/11;-;-;6320;-;50;-;-;299;-
mit allgemeiner Hochschulreife;Insgesamt;2011/12;-;-;6418;-;41;-;-;312;-
mit allgemeiner Hochschulreife;Insgesamt;2012/13;-;-;7026;-;53;-;-;268;-
mit allgemeiner Hochschulreife;Insgesamt;2013/14;-;-;7855;-;54;-;-;284;-
mit allgemeiner Hochschulreife;Insgesamt;2014/15;-;-;9007;-;56;-;-;244;-
mit allgemeiner Hochschulreife;Insgesamt;2015/16;-;-;9335;-;59;-;-;208;-
mit allgemeiner Hochschulreife;Insgesamt;2016/17;-;-;10078;-;56;-;-;182;-
mit allgemeiner Hochschulreife;Insgesamt;2017/18;-;-;9865;-;64;-;-;174;-
mit allgemeiner Hochschulreife;Insgesamt;2018/19;-;-;10207;-;46;-;-;141;-
mit allgemeiner Hochschulreife;Insgesamt;2019/20;-;-;9937;-;52;-;-;160;-
mit allgemeiner Hochschulreife;Insgesamt;2020/21;-;-;9904;-;66;-;-;195;-
mit allgemeiner Hochschulreife;Insgesamt;2021/22;-;-;10280;-;51;-;-;157;-
mit allgemeiner Hochschulreife;Insgesamt;2022/23;-;-;9487;-;72;-;29;185;-
mit allgemeiner Hochschulreife;Insgesamt;2023/24;-;-;9481;-;68;-;40;142;-
mit allgemeiner Hochschulreife;Insgesamt;2024/25;-;-;10063;-;68;-;-;121;-
Insgesamt;männlich;1994/95;-;22156;6269;1803;3;-;-;259;-
Insgesamt;männlich;1995/96;-;22348;6713;1961;13;-;-;219;-
Insgesamt;männlich;1996/97;-;22040;6781;2087;9;-;-;256;-
Insgesamt;männlich;1997/98;-;20635;6522;2224;29;-;-;186;-
Insgesamt;männlich;1998/99;-;20431;7023;2286;35;-;-;200;-
Insgesamt;männlich;1999/00;-;20981;7198;2512;41;-;-;207;-
Insgesamt;männlich;2000/01;-;21094;7140;2341;27;-;-;205;-
Insgesamt;männlich;2001/02;-;20947;6517;2257;27;-;-;246;-
Insgesamt;männlich;2002/03;-;20063;6104;2177;26;-;-;270;-
Insgesamt;männlich;2003/04;-;19248;6299;2190;41;-;-;271;-
Insgesamt;männlich;2004/05;-;18402;6240;2220;31;-;-;323;-
Insgesamt;männlich;2005/06;-;16690;6407;1977;43;-;-;344;-
Insgesamt;männlich;2006/07;-;13660;6441;1845;34;-;-;364;-
Insgesamt;männlich;2007/08;-;9740;6610;1539;39;-;-;351;-
Insgesamt;männlich;2008/09;-;7945;5848;1326;32;-;-;374;-
Insgesamt;männlich;2009/10;-;7272;3460;1143;28;-;-;333;-
Insgesamt;männlich;2010/11;-;6854;3210;1157;49;-;-;299;-
Insgesamt;männlich;2011/12;-;7061;3284;1083;38;-;-;317;-
Insgesamt;männlich;2012/13;-;7846;3625;1316;39;-;-;291;-
Insgesamt;männlich;2013/14;-;8683;4039;1139;41;-;-;325;-
Insgesamt;männlich;2014/15;-;8357;4651;1142;63;-;-;287;-
Insgesamt;männlich;2015/16;-;9067;4848;1252;57;-;-;259;-
Insgesamt;männlich;2016/17;-;9592;5082;1147;47;-;-;246;-
Insgesamt;männlich;2017/18;-;9194;4878;1179;52;-;-;218;-
Insgesamt;männlich;2018/19;-;9511;5253;1136;59;-;-;242;-
Insgesamt;männlich;2019/20;-;9603;4835;1150;53;-;-;243;-
Insgesamt;männlich;2020/21;-;9809;4926;1148;74;-;-;255;-
Insgesamt;männlich;2021/22;-;9955;5215;1198;61;-;-;182;-
Insgesamt;männlich;2022/23;-;10006;4917;1241;92;-;13;214;-
Insgesamt;männlich;2023/24;-;10794;5060;1202;72;-;49;188;-
Insgesamt;männlich;2024/25;-;11270;5305;1223;79;-;-;193;-
Insgesamt;weiblich;1994/95;-;17581;9677;885;7;-;-;269;-
Insgesamt;weiblich;1995/96;-;17968;10688;934;7;-;-;254;-
Insgesamt;weiblich;1996/97;-;18490;10860;1037;20;-;-;230;-
Insgesamt;weiblich;1997/98;-;17288;10299;1212;18;-;-;153;-
Insgesamt;weiblich;1998/99;-;17263;10739;1211;33;-;-;168;-
Insgesamt;weiblich;1999/00;-;17862;10382;1283;29;-;-;187;-
Insgesamt;weiblich;2000/01;-;18618;10530;1318;31;-;-;175;-
Insgesamt;weiblich;2001/02;-;18436;9278;1242;34;-;-;176;-
Insgesamt;weiblich;2002/03;-;17728;8624;1228;36;-;-;225;-
Insgesamt;weiblich;2003/04;-;16908;8557;1199;29;-;-;246;-
Insgesamt;weiblich;2004/05;-;16071;8399;1210;45;-;-;286;-
Insgesamt;weiblich;2005/06;-;14568;8483;1129;33;-;-;345;-
Insgesamt;weiblich;2006/07;-;11903;8243;1110;32;-;-;368;-
Insgesamt;weiblich;2007/08;-;8481;8354;961;47;-;-;334;-
Insgesamt;weiblich;2008/09;-;7160;7059;849;40;-;-;334;-
Insgesamt;weiblich;2009/10;-;6520;4073;773;41;-;-;295;-
Insgesamt;weiblich;2010/11;-;5947;3844;710;45;-;-;302;-
Insgesamt;weiblich;2011/12;-;6505;3855;805;48;-;-;271;-
Insgesamt;weiblich;2012/13;-;7167;4195;878;40;-;-;256;-
Insgesamt;weiblich;2013/14;-;7396;4745;783;61;-;-;247;-
Insgesamt;weiblich;2014/15;-;7630;5349;733;47;-;-;204;-
Insgesamt;weiblich;2015/16;-;7942;5653;797;62;-;-;210;-
Insgesamt;weiblich;2016/17;-;8123;5820;759;61;-;-;152;-
Insgesamt;weiblich;2017/18;-;7931;5853;741;66;-;-;160;-
Insgesamt;weiblich;2018/19;-;8197;5935;789;45;-;-;137;-
Insgesamt;weiblich;2019/20;-;8544;5781;712;51;-;-;166;-
Insgesamt;weiblich;2020/21;-;8649;5899;767;72;-;-;192;-
Insgesamt;weiblich;2021/22;-;8744;6145;784;67;-;-;135;-
Insgesamt;weiblich;2022/23;-;9010;5694;746;83;-;22;207;-
Insgesamt;weiblich;2023/24;-;9442;5773;803;79;-;39;134;-
Insgesamt;weiblich;2024/25;-;10020;6181;797;94;-;-;162;-
Insgesamt;Insgesamt;1994/95;-;39737;15946;2688;10;-;-;528;-
Insgesamt;Insgesamt;1995/96;-;40316;17401;2895;20;-;-;473;-
Insgesamt;Insgesamt;1996/97;-;40530;17641;3124;29;-;-;486;-
Insgesamt;Insgesamt;1997/98;-;37923;16821;3436;47;-;-;339;-
Insgesamt;Insgesamt;1998/99;-;37694;17762;3497;68;-;-;368;-
Insgesamt;Insgesamt;1999/00;-;38843;17580;3795;70;-;-;394;-
Insgesamt;Insgesamt;2000/01;-;39712;17670;3659;58;-;-;380;-
Insgesamt;Insgesamt;2001/02;-;39383;15795;3499;61;-;-;422;-
Insgesamt;Insgesamt;2002/03;-;37791;14728;3405;62;-;-;495;-
Insgesamt;Insgesamt;2003/04;-;36156;14856;3389;70;-;-;517;-
Insgesamt;Insgesamt;2004/05;-;34473;14639;3430;76;-;-;609;-
Insgesamt;Insgesamt;2005/06;-;31258;14890;3106;76;-;-;689;-
Insgesamt;Insgesamt;2006/07;-;25563;14684;2955;66;-;-;732;-
Insgesamt;Insgesamt;2007/08;-;18221;14964;2500;86;-;-;685;-
Insgesamt;Insgesamt;2008/09;-;15105;12907;2175;72;-;-;708;-
Insgesamt;Insgesamt;2009/10;-;13792;7533;1916;69;-;-;628;-
Insgesamt;Insgesamt;2010/11;-;12801;7054;1867;94;-;-;601;-
Insgesamt;Insgesamt;2011/12;-;13566;7139;1888;86;-;-;588;-
Insgesamt;Insgesamt;2012/13;-;15013;7820;2194;79;-;-;547;-
Insgesamt;Insgesamt;2013/14;-;16079;8784;1922;102;-;-;572;-
Insgesamt;Insgesamt;2014/15;-;15987;10000;1875;110;-;-;491;-
Insgesamt;Insgesamt;2015/16;-;17009;10501;2049;119;-;-;469;-
Insgesamt;Insgesamt;2016/17;-;17715;10902;1906;108;-;-;398;-
Insgesamt;Insgesamt;2017/18;-;17125;10731;1920;118;-;-;378;-
Insgesamt;Insgesamt;2018/19;-;17708;11188;1925;104;-;-;379;-
Insgesamt;Insgesamt;2019/20;-;18147;10616;1862;104;-;-;409;-
Insgesamt;Insgesamt;2020/21;-;18458;10825;1915;146;-;-;447;-
Insgesamt;Insgesamt;2021/22;-;18699;11360;1982;128;-;-;317;-
Insgesamt;Insgesamt;2022/23;-;19016;10611;1987;175;-;35;421;-
Insgesamt;Insgesamt;2023/24;-;20236;10833;2005;151;-;88;322;-
Insgesamt;Insgesamt;2024/25;-;21290;11486;2020;173;-;-;355;-
__________
"1) Einschließlich Absolventen/Abgänger von Schulen des
   zweiten Bildungsweges
- Ohne Hauptschulabschluss:
  Abgangszeugnis, einschließlich Abgänger von Gymnasien, die
  ein Abgangszeugnis ohne Vermerk erhielten sowie Zeugnis
  zur Schulentlassung für Schüler mit Förderbedarf im
  Förderschwerpunkt geistige Entwicklung.
- Mit Hauptschulabschluss:
  einschließlich qualifizierendem Hauptschulabschluss
  sowie Absolventen/Abgänger von Gymnasien, die ein
  Abgangszeugnis mit Vermerk erhielten
- Mit Realschulabschluss:
  einschließlich Abgänger von Gymnasien, die
  ein Abgangszeugnis mit Vermerk erhielten
 - Mittel-/Oberschulen (seit dem 1. August 2013 führen die
   öffentlichen Schulen der Schulart Mittelschule die
   Bezeichnung ""Oberschule"")
2) Seit dem Schuljahr 2020/2021 werden zusätzlich die       
   Geschlechtsausprägungen ?divers? und ?ohne Angabe?       
   nach § 22 Absatz 3 PStG erhoben. Diese werden bei
   Auswertungen allerdings dem männlichen Geschlecht
   zugeordnet."
© Statistisches Landesamt des Freistaates Sachsen, Kamenz, 2026 
Stand: 12.08.2026 / 15:22:54
