"id","name","owner_id","owner_abbreviation","owner_name","owner_type"
"4264","Evangelische Oberschule Pirna (Schule in freier Trägerschaft)","1410","EVSPI","Evangelisches Schulzentrum Pirna gGmbH","21"
"3186","Evangelische Oberschule Schneeberg (Schule in freier Trägerschaft)","1380","ESS","Evangelischer Schulverein Schneeberg e.V.","22"
"3897","Evangelische Schule ""Stephan Roth"" - Oberschule (Schule in freier Trägerschaft)","6035","CMSZ","Christen machen Schule Zwickau gGmbH","20"
"3410","Evangelische Schulgemeinschaft Erzgebirge, Oberschule (Schule in freier Trägerschaft)","1366","ESE","Evangelische Schulgemeinschaft Erzgebirge e.V.","21"
"3415","Evangelische Werkschule Milkau Oberschule (Schule in freier Trägerschaft)","6071","EWM","Evangelische Werkschule Milkau e. V.","20"
"3313","Evangelische Werkschule Naundorf - Oberschule -Evangelische Bekenntnisschule- (Schule in freier Trägerschaft)","6136","EWSV","Evangelischer Werkschulverein e.V.","22"
"3986","Evangelische Zinzendorf-Oberschule Herrnhut (Schule in freier Trägerschaft)","6030","BRUEN","Schulstiftung der Evangelischen Brüder-Unität Herrnhut","21"
"3956","Evangelisches Schulzentrum Bad Düben Oberschule (Schule in freier Trägerschaft)","1367","ESZB","Evangelisches Schulzentrum Bad Düben Schulbetrieb gemeinnützige GmbH","29"
"2527","Evangelisches Schulzentrum Chemnitz, Oberschule (Schule in freier Trägerschaft)","1006","FESC","Freier Evangelischer Schulverein Chemnitz e.V. ","21"
"4049","Evangelisches Schulzentrum Radebeul, Oberschule (Schule in freier Trägerschaft)","1450","EVSRA","Evangelischer Schulverein Radebeul e. V.","22"
"3198","Freie Alternativschule Dresden Oberschule (Schule in freier Trägerschaft)","1096","FASDD","Freie Alternativschule Dresden e.V.","22"
"2450","Evangelisches Schulzentrum Leipzig in Trägerschaft des Evangelisch-Lutherischen Kirchenbezirkes Leipzig Oberschule (Schule in freier Trägerschaft)","1043","ESZL","Ev.-Luth. Kirchenbezirk Leipzig","21"
"3298","Freie Christliche Schule Schirgiswalde (Schule in freier Trägerschaft)","6048","CVSCH","Christlicher Schulverein Schirgiswalde e.V.","22"
"3199","Freie Evangelische Oberschule Dresden (Schule in freier Trägerschaft)","1022","EVSDD","FES Dresden gGmbH","22"
"3918","Freie Evangelische Oberschule Görlitz (Schule in freier Trägerschaft)","1455","EVSNG","Evangelischer Schulverein Görlitz e.V.","22"
"4048","Freie Gemeinschaftliche Schule ,,Maria Montessori"" - Oberschule (Schule in freier Trägerschaft)","1299","CSVF","Christlicher Schulverein Freiberg e.V.","22"
"4180","Freie Landschule der Generationen - Oberschule (Schule in freier Trägerschaft)","6179","FLS","Freie Landschule e. V.","22"
"3913","Freie Montessorischule Huckepack Oberschule (Schule in freier Trägerschaft)","1095","HUCKE","Huckepack e.V.","22"
